Participant,TOEFL scores,Kept = 1,reason deleted
188,507,1,
277,523,1,
522,513,1,
631,517,1,
909,500,1,
1010,490,1,
1021,420,1,
1222,517,1,
1639,520,1,
1775,557,1,
1800,513,1,
1837,457,1,
1853,507,1,
1883,477,1,
2005,520,1,
2075,550,1,
2083,480,1,
2164,433,1,
2224,513,1,
2254,587,1,
2311,420,1,
2385,440,1,
2445,503,1,
2452,463,1,
2481,517,1,
2649,497,1,
2776,457,1,
2798,520,1,
2851,510,1,
2918,570,1, 
2957,523,1,
2961,503,1,
3018,537,1,
3033,570,1,
3071,520,1,
3090,537,1,
3093,510,1,
3101,543,1,
3128,553,1, 
3154,530,1,
3158,520,1,
3177,517,1,
3235,543,1,
3237,560,1,
3370,540,1,
3472,540,1,
3834,537,1,
3951,510,1,
3954,523,1,
4170,527,1,
1152956,510,1,
1153027,610,1,
1153102,563,1,
1153252,557,1,
3202,520,1,
3382,523,1,
3751,520,1,